url,title,summary
https://www.nytimes.com/2016/02/27/your-money/an-insurance-penalty-from-postpartum-depression.html,An Insurance Penalty From Postpartum Depression,"Life and disability insurers sometimes set higher rates for women who suffer depression after childbirth, or decline coverage at all."
https://cityroom.blogs.nytimes.com/2013/10/11/new-york-today-winging-it/,New York Today: Winging It,"What you need to know for Friday and the weekend: butterflies return to the city’s natural history museum, a mixed bag of weather and slightly improved prospects for Joseph J. Lhota."
https://www.nytimes.com/2007/01/14/opinion/LI_Offenders.html,False Security on Sex Offenders,"Laws that restrict where convicted sex offenders can live risk turning them into unstable, rootless individuals, harder to track and arguably more dangerous."
https://www.nytimes.com/2020/01/12/neediest-cases/dj-musician-unemployment.html,She Hustled to Create Her Art. Then Unemployment Hit.,"For years, day jobs helped Carolyn Coleman pursue a career in music. Now job training is helping her get back on track."
https://www.nytimes.com/2011/10/07/opinion/debit-card-fees-are-robbery.html,Charging for Debit Cards Is Robbery,Banks that charge customers to use debit cards are trying to rationalize one of the largest illegal transfers of wealth from consumers to banks in American history.
/city/coimbatore/state-agriculture-department-makes-godowns-free-for-farmers/articleshow/74872447.cms,State agriculture department makes godowns free for farmers,Farmers who are finding it difficult to send their produce to markets can now use the agriculture marketing department's godowns in Coimbatore district without paying any charge for a month.
https://krugman.blogs.nytimes.com/2009/12/09/darling-i-love-you/,"Darling, I love you","Taxing bonuses? Yes, indeed."
https://www.nytimes.com/2002/09/08/nyregion/soapbox-directors-cut.html,Directors' Cut,"New Jersey Resources board member Dorothy Light essay offers recommendations to board members or potential board members aimed at sharply reducing risks of improper, unethical or fraudulent activities by corporate executives; drawing (M)"
https://www.nytimes.com/2016/10/02/nyregion/poor-transgender-and-dressed-for-arrest.html,"Poor, Transgender and Dressed for Arrest","When bourgeois women talk about the policing of female sexuality, they are often speaking in metaphors, but poor women are frequently talking about something literal."
https://www.nytimes.com/2009/03/20/technology/companies/20palm.html,Palm Posts a Loss for a 7th Quarter,"The net loss expanded to $95 million, or 89 cents a share, from $54.7 million, or 53 cents, a year earlier."
https://www.nytimes.com/2020/01/30/opinion/sunday/american-dirt-book-mexico.html,‘American Dirt’ Has Us Talking. That’s a Good Thing.,The publishing industry changed its opinion of Mexican immigrant stories only after someone outside our community wrote one.
https://thequad.blogs.nytimes.com/2008/07/09/rodriguez-finds-a-payment-plan/,Rodriguez Finds a Payment Plan,Michigan and Rich Rodriguez will each pay a portion of his buyout with West Virginia.
/city/bengaluru/police-inspect-slum-question-migrants/articleshow/73218742.cms,"Bengaluru police inspect slum, question migrants",Police and Mahadevapura corporators visited Kariyammana Agrahara in Bellandur on Sunday to nab undocumented Bangladeshi immigrants suspected to be living there. The search came after a video alleging that illegal migrants were living there went viral.
https://www.nytimes.com/2016/06/26/opinion/sunday/who-blames-the-victim.html,Who Blames the Victim?,"People who value loyalty, obedience and purity."
https://www.nytimes.com/2009/07/27/business/27views.html,"Solid Earnings, but Soft Revenue","While overall profits were down by about a third from a year earlier, more than three-quarters of the companies beat analysts’ expectations."
https://www.nytimes.com/2011/11/06/business/playlater-offers-an-online-answer-to-the-dvr.html,An Online Answer to the DVR,A $5-a-month service lets you record streaming video for offline playback.
https://www.nytimes.com/2003/03/03/world/threats-and-responses-airwaves-infiltrators-of-north-korea-tiny-radios.html,Infiltrators of North Korea: Tiny Radios,"Pastor Douglas E Shin, Korean-American human rights activist, advocates smuggling thousands of tiny radios capable of receiving foreign broadcasts into North Korea; some say weapon most feared by Stalinist govenrment there is disposable radio; rad..."
https://www.nytimes.com/2008/07/22/business/22citi1.html,Investment Banking Leader at Citigroup Is Leaving,"Citigroup’s investment banking chairman, Michael Klein, will leave the bank, extending a management shake-up after Vikram S. Pandit’s appointment as chief executive in December."
https://www.nytimes.com/2003/10/04/nyregion/editors-note-editors-note-536563.html,Editors' Note; Editors' Note,"Editors' Note on Sept 24 obituary about former Israel ambassador Simcha Dinitz says Times should have verified details of his role during 1973 Arab-Israeli war, especially negotiations with Secretary of State Henry Kissinger in attempts to arrange..."
https://krugman.blogs.nytimes.com/2011/04/22/zombie-tax-lies/,Zombie Tax Lies,"Yes, the poor and the middle class pay."
/city/chennai/apex-skill-training-centre-to-make-tamil-nadu-youth-job-ready/articleshow/72932229.cms,Apex skill training centre to make Tamil Nadu youth job-ready,"Unemployed youth in Tamil Nadu will soon be trained in three core sectors of healthcare, automobile and transport and logistics."
https://cityroom.blogs.nytimes.com/2009/03/10/blogs/10cityroom-queens-d9719.html,Queens Doctor Guilty in Husband’s Death,"Dr. Mazoltuv Borukhova, an internist, and her cousin by marriage were convicted of first-degree murder and conspiracy in the 2007 death of her husband, Dr. Daniel Malakov, an orthodontist."
https://www.nytimes.com/2002/04/29/business/vivendi-wants-new-voting-amid-fears-on-tampering.html,Vivendi Wants New Voting Amid Fears on Tampering,Vivendi Universal chief executive Jean-Marie Messier says he expects shareholders to approve resolutions on stock-option plan and issuance of new shares when they reconvene June 3; Vivendi says it will seek to prosecute those thought to have tampe...
https://cityroom.blogs.nytimes.com/2013/03/03/the-ghetto-brothers-by-mallozzi/,Rocking the Streets With a Band and a Gang,"The rerelease of an album shines a spotlight on a band from the Bronx, the Ghetto Brothers, that played an important role in the evolution of hip-hop in New York."
https://www.nytimes.com/2008/06/25/business/25fraud.html,"Investor, a Socialite, Is Charged With Fraud","Raffaello Follieri, 29, the former boyfriend of the actress Anne Hathaway, was arrested on Tuesday and charged with fraud and money laundering."
https://www.nytimes.com/2020/04/24/your-money/fees-mobile-app-payments.html,Beware the Fees That Come With Some Money Transfers on Apps,"Banks may now charge for payments that are linked to credit cards, treating them as cash advances with interest accruing immediately."
https://www.nytimes.com/2002/07/12/nyregion/justices-uphold-law-on-detention-in-sex-crimes.html,Justices Uphold Law On Detention In Sex Crimes,New Jersey Supreme Court upholds state law that provides for civil commitment of repeat sex offenders who have completed their prison terms; said state may detain only those found to be highly likely to commit another sex crime; case was brought b...
https://www.nytimes.com/2020/04/29/business/stock-markets.html,"The Bad News Won’t Stop, but Markets Keep Rising","Trillions in stimulus dollars have convinced Wall Street that the government has its back, and investors are seizing on even glimmers of good news about the pandemic."
https://www.nytimes.com/2010/01/16/nyregion/17jfk.html,J.F.K. Terminal Evacuated After Security Breach,Dozens of flights were delayed and Terminal 8 was thrown into chaos as hundreds of passengers were rescreened.
https://www.nytimes.com/2019/10/11/us/girl-points-gun-finger-students.html,Kansas Student Charged With Felony After Making Gun Shape With Fingers,"School officials in Overland Park, Kan., were made aware of the threat by a student through the district’s website, which allows students to report safety concerns, the police said."
https://www.nytimes.com/2020/05/26/opinion/florida-felon-voting-court.html,Republicans Tried to Suppress the Vote in Florida. And Failed.,Voters overwhelmingly wanted to restore former felons’ voting rights.
https://www.nytimes.com/2020/05/06/opinion/lebanon-protests-coronavirus.html,"In Lebanon, a Pandemic of Hunger",Anger over a failing economy and unaffordable food has pushed protesters into the streets despite the coronavirus.
https://www.nytimes.com/2020/02/29/upshot/coronavirus-surprise-medical-bills.html,"Kept at the Hospital on Coronavirus Fears, Now Facing Large Medical Bills","Care was mandated by the government, but it’s not clear who has to pay."
https://www.nytimes.com/2013/05/30/technology/anonymous-payment-schemes-thriving-on-web.html,Anonymous Payment Schemes Thriving on Web,"Experts say there are hundreds of Internet payment systems that do not require users to identify themselves, making it difficult to seize on money laundering operations."
/city/coimbatore/use-alternatives-to-urea-agri-dept-tells-farmers/articleshow/71998611.cms,"Coimbatore: Use alternatives to urea, agriculture department tells farmers","The district agricultural department has recommended farmers to use alternative (fertilisers) to urea. While the district has received 1,013 tonnes urea this month for the rabi season, officials have asked farmers not to depend only on the same and instead opt for other fertilisers. They said overdependence on urea would result in its shortage in the market."
https://www.nytimes.com/2009/08/24/arts/television/24arts-ACTORPLEADSG_BRF.html,Actor Pleads Guilty,"Antwon Tanner, an actor on the television drama “One Tree Hill,” pleaded guilty in a federal court on Friday to selling Social Security numbers."
https://www.nytimes.com/2018/07/11/arts/television/sarah-palin-sacha-baron-cohen.html,Sarah Palin Says She Was ‘Duped’ by Sacha Baron Cohen,"Ms. Palin has called the British comedian “truly sick” and “evil,” having realized she will apparently appear in his new Showtime series."
https://www.nytimes.com/2014/02/08/your-money/keeping-swindlers-out-of-your-bank-and-brokerage-accounts.html,Keeping Swindlers Out of Your Bank and Brokerage Accounts,"Beyond employing offline common sense, individuals need to be vigilant about how they use technology and the systems their advisers have to prevent their accounts from being hacked."
https://www.nytimes.com/2009/09/10/us/politics/10wilson.html,"In Lawmaker’s Outburst, a Rare Breach of Protocol","Joe Wilson, Republican of South Carolina, interrupted President Obama with a shout of “You lie,” stunning members of both parties."
https://www.nytimes.com/2007/01/02/magazine/07wwln_lede.html,Not the Case,"Saddam Hussein <em style=“i”>was</em> guilty, but his trial was another botched aspect of the war."
https://www.nytimes.com/2020/02/18/opinion/bloomberg-higher-education-plan.html,Bloomberg’s Progressive College Plan,It takes on both cost and quality.
https://brooks.blogs.nytimes.com/2006/02/14/ganging-up-on-partisan-warfare/,Ganging Up on Partisan Warfare,"Readers respond to David Brooks’s Feb. 12 column, “Bring Back the Gang of 14“: "
https://dealbook.nytimes.com/2010/07/06/spyker-makes-final-payment-for-saab/,Spyker Makes Final Payment for Saab,"Spyker Cars used internal financing rather than new debt to pay General Motors the final $24 million it owed for Saab, ending concern over how Spyker would back pay the money, Reuters reported."
/city/hyderabad/telangana-to-store-paddy-chilli-in-schools-to-save-bumper-crop/articleshow/74880656.cms,"Telangana to store paddy, chilli in schools to save bumper crop",Scores of classrooms that normally echo with academic lectures and discussions will become stocking centres for paddy and other agriculture produce in Telangana.
https://www.nytimes.com/2002/09/18/nyregion/fashion-diary-the-rise-and-rise-of-a-prodigy.html,The Rise And Rise Of a Prodigy,Fashion Diary comment on meteoric career of 22-year-old fashion designer Zac Posen (M)
https://www.nytimes.com/2019/06/10/world/middleeast/iran-times-erdbrink.html,Iran Bars Times Correspondent From Reporting,"The correspondent, Thomas Erdbrink, has been unable to work since February, when his press credential was revoked. The Iranian authorities have offered no explanation."
https://www.nytimes.com/2009/09/05/arts/05arts-ARRESTSINTHE_BRF.html,Arrests in Theft From Hirst Exhibition,"When a pseudonymous graffiti artist who calls himself Cartrain stole some pencils from a Damien Hirst installation at the Tate Britain museum, he thought he was escalating a friendly feud with Mr. Hirst, the Turner Prize-winning artist. Instead, T..."
https://www.nytimes.com/2011/02/17/arts/design/17arts-STOLENEGYPTI_BRF.html,Stolen Egyptian Statue Is Found in Garbage,"A statue of the pharaoh Akhenaten, one of the most valuable objects revealed earlier this week to have been stolen from the Egyptian Museum, has been found."
https://www.nytimes.com/2002/08/25/nyregion/a-tide-of-cash.html,A Tide of Cash,"Article on gentrification of former whaling village and working-class town of Sag Harbor, Long Island, once known as the unHampton; village harbor master Edward Barry says demand for dockage has exceeded 350 spaces available; average sales price o..."
https://www.nytimes.com/2009/06/26/world/europe/26briefs-Russia.html,Russia: No Dissent on U.S. Air Base,Russia’s president expressed no objection to Kyrgyzstan’s decision to allow the United States to continue operating an air base that assists its mission in Afghanistan.
https://www.nytimes.com/2007/02/04/nyregion/thecity/04towe.html,"As a Tower Looms, a Wing and a Scare",Congressman Gary Ackerman did not mince words.
https://www.nytimes.com/video/world/europe/100000003889493/refugees-plead-with-police-in-hungary.html,Refugees Plead With Police in Hungary,"A family of distraught Syrian refugees, including a small child, begged police for help on train tracks outside Bicske after Hungarian authorities blocked their journey to western Europe."
https://www.nytimes.com/2011/11/28/sports/ncaabasketball/bernie-fine-fired-by-syracuse-in-wake-of-molestation-allegations.html,Syracuse Fires Fine After New Allegations in Molestation Case,"The longtime Syracuse assistant Bernie Fine was fired Sunday as new revelations surfaced, including by a third accuser."
/gadgets-news/xiaomi-box-4k-hdr-android-tv-box-launched-at-rs-3499/articleshow/75620360.cms,"Xiaomi Box 4K HDR Android TV box launched at Rs 3,499",Xiaomi has entered a new segment with the launch of its first Mi Box 4K. Using the device users can convert their non-smart TV into a smart TV.
https://www.nytimes.com/2020/02/05/nyregion/ms-13-long-island.html,Furor Erupts Over Killing of Witness in MS-13 Gang Case,The death became a flash point in the debate over changes to the criminal justice system adopted in New York.
/city/patna/anand-to-interact-with-us-students/articleshow/75703351.cms,Anand Kumar to interact with US students,"Super 30 founder and mathematician Anand Kumar has been invited to hold a virtual session with the students of University of California, Berkeley on May 16 in a bid to boost the morale of the students amid Covid-19 pandemic."
https://thelede.blogs.nytimes.com/2010/03/03/cheese-thief-jailed-for-7-years-in-california/,Cheese Thief Jailed for 7 Years in California,"On Monday, more than a year after a man was arrested outside a market in California with a $3.99 bag of Tillamook shredded cheese in his pants he had not paid for, a judge decided to go relatively easy on him, sentencing him to seven years and eig..."
https://dotearth.blogs.nytimes.com/2009/11/22/your-dot-on-science-and-cyber-terrorism/,Your Dot: On Science and ‘Cyber-Terrorism’,A climate scientist focuses on the cybercrime that divulged reams of emails on climate research.
https://www.nytimes.com/2009/06/14/us/politics/14address.html,Health Plan May Mean Payment Cuts,President Obama said he intended to finance his health care overhaul partly with hospital reimbursement cuts.
